Beach_Name,Measurement_Date_And_Time,Water_Temperature,Turbidity,Transducer_Depth,Wave_Height,Wave_Period,Battery_Life,Measurement_ID,Month
Montrose Beach,2013-08-30 08:00:00,20.3,1.18,0.891,0.08,3.0,9.4,MontroseBeach201308300800,8.0
Ohio Street Beach,2016-05-26 13:00:00,14.4,1.23,1.735757363954069,0.111,4.0,12.4,OhioStreetBeach201605261300,5.0
Calumet Beach,2013-09-03 16:00:00,23.2,3.63,1.201,0.174,6.0,9.4,CalumetBeach201309031600,9.0
Calumet Beach,2014-05-28 12:00:00,16.2,1.26,1.514,0.147,4.0,11.7,CalumetBeach201405281200,5.0
Montrose Beach,2014-05-28 12:00:00,14.4,3.36,1.388,0.298,4.0,11.9,MontroseBeach201405281200,5.0
Montrose Beach,2014-05-28 13:00:00,14.5,2.72,1.395,0.306,3.0,11.9,MontroseBeach201405281300,5.0
Calumet Beach,2014-05-28 13:00:00,16.3,1.28,1.524,0.162,4.0,11.7,CalumetBeach201405281300,5.0
Montrose Beach,2014-05-28 14:00:00,14.8,2.97,1.386,0.328,3.0,11.9,MontroseBeach201405281400,5.0
Calumet Beach,2014-05-28 14:00:00,16.5,1.32,1.537,0.185,4.0,11.7,CalumetBeach201405281400,5.0
Calumet Beach,2014-05-28 15:00:00,16.8,1.31,1.568,0.196,4.0,11.7,CalumetBeach201405281500,5.0
Montrose Beach,2014-05-28 15:00:00,14.5,4.3,1.377,0.328,3.0,11.9,MontroseBeach201405281500,5.0
Calumet Beach,2014-05-28 16:00:00,17.1,1.37,1.52,0.194,4.0,11.7,CalumetBeach201405281600,5.0
Montrose Beach,2014-05-28 16:00:00,14.4,4.87,1.366,0.341,3.0,11.9,MontroseBeach201405281600,5.0
Calumet Beach,2014-05-28 17:00:00,17.2,1.48,1.525,0.203,4.0,11.7,CalumetBeach201405281700,5.0
Montrose Beach,2014-05-28 17:00:00,14.1,5.06,1.382,0.34,4.0,11.9,MontroseBeach201405281700,5.0
Montrose Beach,2014-05-28 18:00:00,14.2,5.76,1.415,0.356,3.0,11.9,MontroseBeach201405281800,5.0
Calumet Beach,2014-05-28 18:00:00,17.1,1.8,1.501,0.188,4.0,11.7,CalumetBeach201405281800,5.0
Calumet Beach,2014-05-28 19:00:00,17.0,1.82,1.487,0.194,4.0,11.7,CalumetBeach201405281900,5.0
Montrose Beach,2014-05-28 19:00:00,14.2,6.32,1.386,0.346,3.0,11.9,MontroseBeach201405281900,5.0
Montrose Beach,2014-05-28 20:00:00,14.4,6.89,1.401,0.38,4.0,11.9,MontroseBeach201405282000,5.0
Calumet Beach,2014-05-28 20:00:00,17.0,1.83,1.488,0.196,4.0,11.7,CalumetBeach201405282000,5.0
Montrose Beach,2014-05-28 21:00:00,14.5,7.11,1.374,0.361,5.0,11.9,MontroseBeach201405282100,5.0
Calumet Beach,2014-05-28 21:00:00,16.8,1.9,1.494,0.181,4.0,11.7,CalumetBeach201405282100,5.0
Montrose Beach,2014-05-28 22:00:00,14.5,6.88,1.413,0.345,4.0,11.9,MontroseBeach201405282200,5.0
Calumet Beach,2014-05-28 22:00:00,16.7,1.83,1.467,0.18,4.0,11.7,CalumetBeach201405282200,5.0
Montrose Beach,2014-05-28 23:00:00,14.3,7.32,1.406,0.331,4.0,11.9,MontroseBeach201405282300,5.0
Calumet Beach,2014-05-28 23:00:00,16.5,1.69,1.548,0.177,4.0,11.7,CalumetBeach201405282300,5.0
Calumet Beach,2014-05-29 01:00:00,16.3,1.62,1.519,0.159,4.0,11.7,CalumetBeach201405290100,5.0
Montrose Beach,2014-05-29 01:00:00,14.2,7.18,1.46,0.305,4.0,11.9,MontroseBeach201405290100,5.0
Montrose Beach,2014-05-29 02:00:00,14.2,6.35,1.45,0.321,3.0,11.9,MontroseBeach201405290200,5.0
Calumet Beach,2014-05-29 02:00:00,16.2,1.57,1.535,0.154,4.0,11.7,CalumetBeach201405290200,5.0
Calumet Beach,2014-05-29 03:00:00,16.1,1.8,1.557,0.163,4.0,11.7,CalumetBeach201405290300,5.0
